key	network	position_x	position_y	template
#teleportation_network_nodes_tables;0;db/teleportation_network_nodes_tables/dyn_dis				
dyn_dis_wh3_dlc20_combi_province_frigid_wasteland	dyn_dis_chaos_invasion_network	271	900	
dyn_dis_wh3_dlc20_combi_province_middle_mountains	dyn_dis_chaos_invasion_network	593	725	
dyn_dis_wh3_main_combi_province_albion	dyn_dis_chaos_invasion_network	366	757	
dyn_dis_wh3_main_combi_province_ancient_giant_lands	dyn_dis_chaos_invasion_network	1011	667	
dyn_dis_wh3_main_combi_province_argwylon	dyn_dis_chaos_invasion_network	523	558	
dyn_dis_wh3_main_combi_province_ashen_coast	dyn_dis_chaos_invasion_network	17	585	
dyn_dis_wh3_main_combi_province_atalan_mountains	dyn_dis_chaos_invasion_network	465	295	
dyn_dis_wh3_main_combi_province_avelorn	dyn_dis_chaos_invasion_network	266	582	
dyn_dis_wh3_main_combi_province_averland	dyn_dis_chaos_invasion_network	627	594	
dyn_dis_wh3_main_combi_province_axe_bite_pass	dyn_dis_chaos_invasion_network	484	614	
dyn_dis_wh3_main_combi_province_aymara_swamps	dyn_dis_chaos_invasion_network	108	404	
dyn_dis_wh3_main_combi_province_barrier_idols	dyn_dis_chaos_invasion_network	705	349	
dyn_dis_wh3_main_combi_province_barrows_of_cuileux	dyn_dis_chaos_invasion_network	458	555	
dyn_dis_wh3_main_combi_province_bastonne	dyn_dis_chaos_invasion_network	440	597	
dyn_dis_wh3_main_combi_province_black_blood_pass	dyn_dis_chaos_invasion_network	703	796	
dyn_dis_wh3_main_combi_province_black_mountains	dyn_dis_chaos_invasion_network	597	544	
dyn_dis_wh3_main_combi_province_black_water	dyn_dis_chaos_invasion_network	726	602	
dyn_dis_wh3_main_combi_province_blightwater	dyn_dis_chaos_invasion_network	720	386	
dyn_dis_wh3_main_combi_province_blood_river_valley	dyn_dis_chaos_invasion_network	660	517	
dyn_dis_wh3_main_combi_province_bloodfire_falls	dyn_dis_chaos_invasion_network	778	912	
dyn_dis_wh3_main_combi_province_bone_road	dyn_dis_chaos_invasion_network	1019	601	
dyn_dis_wh3_main_combi_province_broken_lands_of_tian_li	dyn_dis_chaos_invasion_network	1165	433	
dyn_dis_wh3_main_combi_province_broken_teeth	dyn_dis_chaos_invasion_network	841	396	
dyn_dis_wh3_main_combi_province_caledor	dyn_dis_chaos_invasion_network	216	510	
dyn_dis_wh3_main_combi_province_carcassonne	dyn_dis_chaos_invasion_network	455	510	
dyn_dis_wh3_main_combi_province_celestial_lake	dyn_dis_chaos_invasion_network	1284	527	
dyn_dis_wh3_main_combi_province_celestial_riverlands	dyn_dis_chaos_invasion_network	1246	469	
dyn_dis_wh3_main_combi_province_central_great_bastion	dyn_dis_chaos_invasion_network	1206	655	
dyn_dis_wh3_main_combi_province_central_jungles	dyn_dis_chaos_invasion_network	628	164	
dyn_dis_wh3_main_combi_province_chimera_plateau	dyn_dis_chaos_invasion_network	1028	735	
dyn_dis_wh3_main_combi_province_chrace	dyn_dis_chaos_invasion_network	307	620	
dyn_dis_wh3_main_combi_province_coast_of_araby	dyn_dis_chaos_invasion_network	499	332	
dyn_dis_wh3_main_combi_province_coast_of_lyonesse	dyn_dis_chaos_invasion_network	367	621	
dyn_dis_wh3_main_combi_province_copper_desert	dyn_dis_chaos_invasion_network	98	207	
dyn_dis_wh3_main_combi_province_cothique	dyn_dis_chaos_invasion_network	324	615	
